strand_index,shape_index,length_inches,length_meters,length,start_index,end_index,x1,y1,z1,x2,y2,z2
0,0,108,2.7431985186728,82,0,81,-46.625,150.625,34.75,-100.8125,89.4375,35.3125
0,0,58,1.47319920447243,44,82,125,-100.8125,89.4375,35.3125,-86.375,119.4375,89.375
0,0,57,1.44779921818842,43,126,168,-86.375,119.4375,89.375,-48.25,160.1875,89.375
0,1,57,1.44779921818842,43,169,211,-48.75,158.3125,91.3125,-86.5,118.3125,91.1875
0,1,57,1.44779921818842,43,212,254,-86.5,118.3125,91.1875,-86.0625,81.8125,143.25
0,1,57,1.44779921818842,43,255,297,-86.0625,81.8125,143.25,-44.8125,105.1875,164
0,2,57,1.44779921818842,43,298,340,-44.3125,104,164.3125,-85.875,80.625,143.1875
0,2,64,1.62559912217647,48,341,388,-85.875,80.625,143.1875,-100.125,14,143.5625
0,2,65,1.65099910846048,49,389,437,-100.125,14,143.5625,-75.5625,-36.1875,176.8125
0,2,57.5,1.46049921133043,43,438,480,-75.5625,-36.1875,176.8125,-37.5,-17.8125,211.875
0,2,79,2.00659891643659,60,481,540,-37.5,-17.8125,211.875,-23.3125,49.125,211.875
1,3,41,1.0413994376443,31,695,725,-114.6875,1.3125,91.125,-103.9375,23.6875,130.4375
1,3,47.5,1.20649934849035,36,726,761,-103.9375,23.6875,130.4375,-93.3125,75.125,130.4375
1,3,40,1.0159994513603,30,762,791,-93.3125,75.125,130.4375,-93.625,103.5,89.8125
1,3,41,1.0413994376443,31,792,822,-93.625,103.5,89.8125,-104.375,81.125,49.5
1,3,47,1.19379935534835,35,823,857,-104.375,81.125,49.5,-115,29.625,49.5
1,3,41,1.0413994376443,31,858,888,-115,29.625,49.5,-114.6875,1.3125,91.125
1,4,58,1.47319920447243,44,889,932,-113.8125,-13.3125,89.375,-100,15.5,141.25
1,4,64,1.62559912217647,48,933,980,-100,15.5,141.25,-86.5625,80.5,141.25
1,4,57,1.44779921818842,43,981,1023,-86.5625,80.5,141.25,-86.9375,116.6875,89.375
1,4,58,1.47319920447243,44,1024,1067,-86.9375,116.6875,89.375,-100.75,87.875,37.5
1,4,63,1.60019913589247,48,1068,1115,-100.75,87.875,37.5,-114.1875,22.875,37.5
1,4,57,1.44779921818842,43,1116,1158,-114.1875,22.875,37.5,-113.8125,-13.3125,89.375
1,5,70,1.77799903988052,53,1159,1211,-114.3125,-16.0625,89.375,-98.9375,-84.75,89.375
1,5,53,1.34619927305239,40,1212,1251,-98.9375,-84.75,89.375,-83.875,-115.8125,35.3125
1,5,125,3.17499828550093,95,1252,1346,-83.875,-115.8125,35.3125,-114.75,21.6875,35.3125
1,5,57,1.44779921818842,43,1347,1389,-114.75,21.6875,35.3125,-114.3125,-16.0625,89.375
2,6,37,0.939799492508274,28,1390,1417,-88.25,-97.9375,89.1875,-77.0625,-120.9375,49.0625
2,6,34,0.863599533656252,25,1418,1442,-77.0625,-120.9375,49.0625,-48.875,-152.375,49.0625
2,6,42,1.06679942392831,32,1443,1474,-48.875,-152.375,49.0625,-31.4375,-161.4375,88.5625
2,6,37,0.939799492508274,28,1475,1502,-31.4375,-161.4375,88.5625,-42.5625,-138.4375,128.6875
2,6,44,1.11759939649633,33,1503,1535,-42.5625,-138.4375,128.6875,-70.75,-107,128.6875
2,6,42,1.06679942392831,32,1536,1567,-70.75,-107,128.6875,-88.25,-97.9375,89.1875
2,7,52,1.32079928676839,39,1568,1606,-97.375,-84.5625,89.375,-82.875,-116.3125,37.5
2,7,57,1.44779921818842,43,1607,1649,-82.875,-116.3125,37.5,-45.5,-158,37.5
2,7,57,1.44779921818842,43,1650,1692,-45.5,-158,37.5,-22.5,-169.9375,89.375
2,7,56,1.42239923190441,42,1693,1734,-22.5,-169.9375,89.375,-36.9375,-140.1875,141.25
2,7,54,1.3715992593364,41,1735,1775,-36.9375,-140.1875,141.25,-74.375,-98.5,141.25
2,7,53,1.34619927305239,40,1776,1815,-74.375,-98.5,141.25,-97.375,-84.5625,89.375
2,8,60,1.52399917704044,45,1816,1860,-98.5625,-82.6875,91.3125,-75.8125,-94.5,142.6875
2,8,73,1.85419899873254,55,1861,1915,-75.8125,-94.5,142.6875,-76.4375,-36.5625,174.4375
2,8,65,1.65099910846048,49,1916,1964,-76.4375,-36.5625,174.4375,-99.5625,11.0625,142.6875
2,8,58,1.47319920447243,44,1965,2008,-99.5625,11.0625,142.6875,-113.25,-17.4375,91.3125
2,8,70,1.77799903988052,53,2009,2061,-113.25,-17.4375,91.3125,-98.5625,-82.6875,91.3125
3,15,108,2.7431985186728,82,3475,3556,46.625,150.625,34.75,100.8125,89.4375,35.3125
3,15,58,1.47319920447243,44,3557,3600,100.8125,89.4375,35.3125,86.375,119.4375,89.375
3,15,57,1.44779921818842,43,3601,3643,86.375,119.4375,89.375,48.25,160.1875,89.375
3,16,57,1.44779921818842,43,3644,3686,48.75,158.3125,91.3125,86.5,118.3125,91.1875
3,16,57,1.44779921818842,43,3687,3729,86.5,118.3125,91.1875,86.0625,81.8125,143.25
3,16,57,1.44779921818842,43,3730,3772,86.0625,81.8125,143.25,44.8125,105.1875,164
3,17,57,1.44779921818842,43,3773,3815,44.3125,104,164.3125,85.875,80.625,143.1875
3,17,64,1.62559912217647,48,3816,3863,85.875,80.625,143.1875,100.125,14,143.5625
3,17,65,1.65099910846048,49,3864,3912,100.125,14,143.5625,75.5625,-36.1875,176.8125
3,17,57.5,1.46049921133043,43,3913,3955,75.5625,-36.1875,176.8125,37.5,-17.8125,211.875
3,17,79,2.00659891643659,60,3956,4015,37.5,-17.8125,211.875,23.3125,49.125,211.875
4,12,41,1.0413994376443,31,2780,2810,114.6875,1.3125,91.125,103.9375,23.6875,130.4375
4,12,47.5,1.20649934849035,36,2811,2846,103.9375,23.6875,130.4375,93.3125,75.125,130.4375
4,12,40,1.0159994513603,30,2847,2876,93.3125,75.125,130.4375,93.625,103.5,89.8125
4,12,41,1.0413994376443,31,2877,2907,93.625,103.5,89.8125,104.375,81.125,49.5
4,12,47,1.19379935534835,35,2908,2942,104.375,81.125,49.5,115,29.625,49.5
4,12,41,1.0413994376443,31,2943,2973,115,29.625,49.5,114.6875,1.3125,91.125
4,13,58,1.47319920447243,44,2974,3017,113.8125,-13.3125,89.375,100,15.5,141.25
4,13,64,1.62559912217647,48,3018,3065,100,15.5,141.25,86.5625,80.5,141.25
4,13,57,1.44779921818842,43,3066,3108,86.5625,80.5,141.25,86.9375,116.6875,89.375
4,13,58,1.47319920447243,44,3109,3152,86.9375,116.6875,89.375,100.75,87.875,37.5
4,13,63,1.60019913589247,48,3153,3200,100.75,87.875,37.5,114.1875,22.875,37.5
4,13,57,1.44779921818842,43,3201,3243,114.1875,22.875,37.5,113.8125,-13.3125,89.375
4,14,70,1.77799903988052,53,3244,3296,114.3125,-16.0625,89.375,98.9375,-84.75,89.375
4,14,53,1.34619927305239,40,3297,3336,98.9375,-84.75,89.375,83.875,-115.8125,35.3125
4,14,125,3.17499828550093,95,3337,3431,83.875,-115.8125,35.3125,114.75,21.6875,35.3125
4,14,57,1.44779921818842,43,3432,3474,114.75,21.6875,35.3125,114.3125,-16.0625,89.375
5,9,37,0.939799492508274,28,2085,2112,88.25,-97.9375,89.1875,77.0625,-120.9375,49.0625
5,9,34,0.863599533656252,25,2113,2137,77.0625,-120.9375,49.0625,48.875,-152.375,49.0625
5,9,42,1.06679942392831,32,2138,2169,48.875,-152.375,49.0625,31.4375,-161.4375,88.5625
5,9,37,0.939799492508274,28,2170,2197,31.4375,-161.4375,88.5625,42.5625,-138.4375,128.6875
5,9,44,1.11759939649633,33,2198,2230,42.5625,-138.4375,128.6875,70.75,-107,128.6875
5,9,42,1.06679942392831,32,2231,2262,70.75,-107,128.6875,88.25,-97.9375,89.1875
5,10,52,1.32079928676839,39,2263,2301,97.375,-84.5625,89.375,82.875,-116.3125,37.5
5,10,57,1.44779921818842,43,2302,2344,82.875,-116.3125,37.5,45.5,-158,37.5
5,10,57,1.44779921818842,43,2345,2387,45.5,-158,37.5,22.5,-169.9375,89.375
5,10,56,1.42239923190441,42,2388,2429,22.5,-169.9375,89.375,36.9375,-140.1875,141.25
5,10,54,1.3715992593364,41,2430,2470,36.9375,-140.1875,141.25,74.375,-98.5,141.25
5,10,53,1.34619927305239,40,2471,2510,74.375,-98.5,141.25,97.375,-84.5625,89.375
5,11,60,1.52399917704044,45,2511,2555,98.5625,-82.6875,91.3125,75.8125,-94.5,142.6875
5,11,73,1.85419899873254,55,2556,2610,75.8125,-94.5,142.6875,76.4375,-36.5625,174.4375
5,11,65,1.65099910846048,49,2611,2659,76.4375,-36.5625,174.4375,99.5625,11.0625,142.6875
5,11,58,1.47319920447243,44,2660,2703,99.5625,11.0625,142.6875,113.25,-17.4375,91.3125
5,11,70,1.77799903988052,53,2704,2756,113.25,-17.4375,91.3125,98.5625,-82.6875,91.3125
6,18,82,2.08279887528861,62,4170,4231,-0.75,-121.375,176.875,-0.125,-62.8125,208.9375
6,18,60,1.52399917704044,45,4232,4276,-0.125,-62.8125,208.9375,-37.25,-21.125,208.9375
6,18,58,1.47319920447243,44,4277,4320,-37.25,-21.125,208.9375,-74.0625,-37.9375,176.875
6,18,54,1.3715992593364,41,4321,4361,-74.0625,-37.9375,176.875,-73.4375,-96.5,144.8125
6,18,56,1.42239923190441,42,4362,4403,-73.4375,-96.5,144.8125,-36,-138.1875,144.8125
6,18,51,1.29539930048438,38,4404,4441,-36,-138.1875,144.8125,-0.75,-121.375,176.875
6,19,82,2.08279887528861,62,4442,4503,0.75,-121.375,176.875,0.125,-62.8125,208.9375
6,19,60,1.52399917704044,45,4504,4548,0.125,-62.8125,208.9375,37.25,-21.125,208.9375
6,19,58,1.47319920447243,44,4549,4592,37.25,-21.125,208.9375,74.0625,-37.9375,176.875
6,19,54,1.3715992593364,41,4593,4633,74.0625,-37.9375,176.875,73.4375,-96.5,144.8125
6,19,56,1.42239923190441,42,4634,4675,73.4375,-96.5,144.8125,36,-138.1875,144.8125
6,19,51,1.29539930048438,38,4676,4713,36,-138.1875,144.8125,0.75,-121.375,176.875
7,20,39,0.990599465076289,29,4865,4893,-19.75,-170.5625,91.3125,23.5,-172.0625,91.3125
7,20,55,1.39699924562041,41,4894,4934,21.5,-172.0625,91.3125,35.1875,-143.5625,142.6875
7,20,51,1.29539930048438,38,4935,4972,35.1875,-143.5625,142.6875,0,-124.4375,174.4375
7,20,51,1.29539930048438,38,4973,5010,0,-124.4375,174.4375,-34.0625,-141.125,142.6875
7,20,56,1.42239923190441,42,5011,5052,-34.0625,-141.125,142.6875,-19.75,-170.5625,91.3125
7,21,57,1.44779921818842,43,5053,5095,-44.875,-159.25,35.3125,-20.9375,-171.625,89.375
7,21,39,0.990599465076289,29,5096,5124,-20.9375,-171.625,89.375,22.6875,-173.1875,89.375
7,21,58,1.47319920447243,44,5125,5168,22.6875,-173.1875,89.375,46.375,-162.4375,35.3125
